,level_0,index,exporter,importer,value,quantity
70,70,3466201,DEU,NLD,62501.25,21851.059
71,71,4185751,IDN,IND,30822.679,21668.081
72,72,967727,BRA,SVN,49690.709,21506.029
73,73,2622907,ETH,JPN,73334.307,21167.616
74,74,6621055,NIC,BEL,69786.523,20704.406
75,75,10186833,UGA,USA,48847.973,20457.695
76,76,8346623,VNM,FRA,31491.227,20196.907
77,77,3758122,GTM,JPN,83597.342,20161.085
78,78,6838557,PER,BEL,87517.139,19963.085
79,79,10185493,UGA,ESP,33208.623,19769.799
80,80,8397185,VNM,PHL,46684.531,19752.698
81,81,840136,BRA,DZA,31472.55,19545.002
82,82,3742097,GTM,BEL,80669.976,19293.494
83,83,3785742,HND,FRA,64746.546,19016.457
84,84,951671,BRA,POL,44480.207,18668.704
85,85,916644,BRA,LBN,34443.161,18624.461
86,86,867581,BRA,CHN,49598.893,18313.916
87,87,5293446,LAO,VNM,49083.459,17825.778
88,88,3788562,HND,ITA,57630.837,17750.058
89,89,2623551,ETH,KOR,72886.951,17165.349
90,90,742258,BEL,ESP,23012.233,17156.462
91,91,2057989,CRI,BEL,78743.209,17037.854
92,92,10184277,UGA,MAR,30997.19,16643.928
93,93,3745359,GTM,CHN,65934.001,16544.884
94,94,2041987,COL,GBR,77316.734,16460.488
95,95,8417904,VNM,CHE,27912.594,16284.365
96,96,3781041,HND,CAN,59316.531,15815.02
97,97,2615239,SLV,USA,55843.199,15590.859
98,98,2037546,COL,ESP,70018.441,15382.516
99,99,857464,BRA,BIH,33604.251,15250.319
100,100,2020702,COL,ITA,65127.858,15137.15
101,101,961194,BRA,SRB,31121.829,14799.608
102,102,8424324,VNM,TUN,15251.392,14568.829
103,103,8427823,VNM,EGY,26398.4,14349.436
104,104,3307552,DEU,CZE,46973.043,13952.571
105,105,976789,BRA,SYR,25749.028,13669.28
106,106,4129622,IDN,DEU,32838.236,13269.471
107,107,3794272,HND,GBR,45479.436,13212.296
108,108,2039370,COL,CHE,3016.888,13200.181
109,109,8406591,VNM,IND,20644.934,13167.491
110,110,10673613,TZA,DEU,31860.727,12817.049
111,111,8019544,IND,CHE,45926.546,12724.992
112,112,4100986,IDN,BEL,44518.271,12706.705
113,113,968425,BRA,ZAF,21110.116,12679.409
114,114,7886098,IND,JOR,42331.467,12672.879
115,115,4210976,IDN,GBR,27112.216,12672.516
116,116,10674944,TZA,JPN,44255.925,12496.353
117,117,10184956,UGA,IND,15943.465,12223.898
118,118,595988,BEL,DEU,49278.252,12184.155
119,119,8314103,VNM,AUS,20782.758,12144.284
120,120,937991,BRA,NOR,30207.879,12020.928
121,121,2013265,COL,FIN,52559.778,11813.394
122,122,2619132,ETH,CHN,51599.213,11586.02
123,123,1995894,COL,AUS,54832.766,11527.117
124,124,7903261,IND,LBY,21467.118,11349.41
125,125,4161785,IDN,MAR,20127.227,11221.75
126,126,6625166,NIC,DEU,37450.0,11087.599
127,127,864279,BRA,CHL,19948.578,11081.872
128,128,4181254,IDN,RUS,17283.005,10717.305
129,129,3753527,GTM,DEU,42098.145,10657.161
130,130,981128,BRA,TUN,25004.516,10653.261
131,131,921368,BRA,MYS,27764.181,10278.875
132,132,2003783,COL,CHN,47277.493,10147.999
133,133,8388451,VNM,NLD,20201.347,10116.823
134,134,3788770,HND,JPN,33978.282,9939.44
135,135,6630654,NIC,CHE,35686.764,9921.42
136,136,882155,BRA,ECU,14059.13,9799.8
137,137,2620293,ETH,FRA,36102.596,9731.377
138,138,6842205,PER,CAN,37622.04,9720.856
139,139,10368037,GBR,BEL,17104.588,9569.145
140,140,2029348,COL,NOR,40055.385,9504.179
141,141,8400660,VNM,PRT,17514.782,9469.701
142,142,3758351,GTM,KOR,39807.521,9371.376
143,143,10674714,TZA,ITA,19178.455,9359.571
144,144,913207,BRA,JOR,23654.42,9211.715
145,145,2628738,ETH,CHE,52945.764,9150.041
146,146,3788927,HND,KOR,28501.04,9140.954
147,147,3793329,HND,SWE,33657.222,9118.729
148,148,6872732,PER,SWE,39410.752,9092.206
149,149,8454098,SVN,HRV,23368.239,9061.499
150,150,6829264,PNG,USA,41983.564,8950.338
151,151,3335477,DEU,FRA,42455.262,8936.037
152,152,3782368,HND,COL,16231.424,8724.214
153,153,2622473,ETH,ITA,37394.501,8722.712
154,154,6627698,NIC,ITA,27031.944,8573.57
155,155,6827865,PNG,DEU,34584.598,8517.418
156,156,10746147,USA,CAN,73880.177,8454.879
157,157,626362,BEL,ITA,18722.28,8435.385
158,158,2025573,COL,NLD,39195.209,8362.315
159,159,6859913,PER,ITA,36546.403,8361.688
160,160,3757632,GTM,ITA,31789.79,8152.32
161,161,6854839,PER,FRA,32830.726,8034.772
162,162,2023321,COL,MYS,38252.005,8015.789
163,164,8426239,VNM,UKR,12644.976,7862.829
164,165,3385351,DEU,ITA,26893.646,7767.394
165,166,6827257,PNG,AUS,27947.328,7714.79
166,167,3237698,DEU,AUT,27979.602,7680.376
167,168,880201,BRA,DOM,22141.598,7592.637
168,169,875164,BRA,HRV,27576.348,7568.467
169,170,8357063,VNM,IDN,11573.214,7442.699
170,171,3562570,DEU,SWE,32797.411,7419.843
171,172,5822910,MEX,ITA,25180.916,7351.614
172,173,10184838,UGA,RUS,14207.441,7168.64
173,174,2628151,ETH,SDN,17036.846,7092.28
174,175,8919463,ESP,PRT,17348.126,7056.887
175,176,979416,BRA,ARE,17948.412,6988.331
176,177,3793453,HND,CHE,24684.148,6962.389
177,178,8323410,VNM,BGR,13099.398,6878.811
178,179,7851442,IND,GRC,14826.635,6843.203
179,180,10667562,TZA,BEL,7228.684,6840.903
180,181,3785665,HND,FIN,26602.381,6836.93
181,182,8351231,VNM,GRC,13707.426,6755.682
182,183,2020463,COL,ISR,29919.081,6701.85
183,184,3601504,DEU,GBR,28768.744,6626.048
184,185,6861261,PER,KOR,25210.427,6596.847
185,186,6875390,PER,GBR,28608.741,6545.139
186,187,5030099,KEN,BEL,43317.994,6496.47
187,188,5290687,LAO,DEU,21533.381,6347.871
188,189,8386389,VNM,MAR,8965.521,6340.914
189,190,7894967,IND,KWT,24104.429,6335.301
190,191,2617501,ETH,AUS,26611.478,6312.138
191,192,6621480,NIC,CAN,21797.591,6207.629
192,193,2013470,COL,FRA,28500.748,6160.622
193,194,5810229,MEX,DEU,22208.474,6119.803
194,195,907214,BRA,ISR,15086.006,6112.76
195,196,959752,BRA,SAU,18294.743,6066.09
196,197,7754171,IND,AUS,16426.67,5974.316
197,198,3780065,HND,AUS,25472.343,5952.166
198,199,958280,BRA,LCA,17717.764,5941.416
199,200,5784752,MEX,CAN,25054.214,5876.833
200,201,5863810,MEX,CHE,25165.545,5787.632
201,202,4126756,IDN,FRA,10466.501,5759.839
202,203,8044936,IND,EGY,12804.978,5745.28
203,204,3793052,HND,ESP,18722.65,5602.992
204,205,3782654,HND,CRI,10569.839,5569.24
205,206,5061042,KEN,USA,36873.643,5493.018
206,207,8328485,VNM,CAN,11597.754,5463.009
207,208,7982928,IND,SAU,18092.605,5365.406
208,209,8010383,IND,ESP,11112.581,5361.119
209,210,4187907,IDN,SGP,9618.428,5356.006
210,211,10184802,UGA,PRT,9931.364,5335.99
211,212,3607959,DEU,USA,23204.178,5246.373
212,213,1633266,CHN,DEU,17369.719,5228.542
213,214,4129237,IDN,GEO,23224.995,5180.451
214,215,7747144,IND,DZA,9999.811,5153.2
215,216,1202154,CMR,FRA,8349.388,5125.52
216,217,953242,BRA,PRT,13600.7,5119.618
217,218,6630542,NIC,SWE,16057.928,5062.679
218,219,2626167,ETH,RUS,18038.613,5027.977
219,220,10676989,TZA,MAR,10195.305,4963.079
220,221,5038217,KEN,DEU,27871.858,4941.763
221,222,2066060,CRI,DEU,22292.149,4856.969
222,223,5294422,LAO,THA,16148.196,4820.259
223,224,8341699,VNM,DOM,8482.045,4756.518
224,225,904175,BRA,IDN,14040.637,4701.812
225,227,1368126,CAN,USA,23917.497,4665.769
226,228,4201870,IDN,THA,7567.229,4638.518
227,230,2622983,ETH,JOR,19174.125,4506.151
228,231,879087,BRA,DNK,12946.342,4506.004
229,232,4109312,IDN,CAN,20613.966,4463.07
230,233,8342365,VNM,ECU,7414.754,4435.68
231,234,4096009,IDN,AUS,11467.233,4424.525
232,235,4113707,IDN,CHN,12762.946,4370.963
233,237,4775942,CIV,ESP,6066.915,4147.27
234,238,984962,BRA,EGY,9578.355,4120.706
235,239,5776658,MEX,BEL,12952.462,4013.545
236,240,10184924,UGA,SRB,7347.476,4013.153
237,241,7874238,IND,ISR,11468.32,3998.259
238,242,6828076,PNG,ITA,13819.892,3978.33
239,243,8041510,IND,UKR,7128.753,3975.197
240,244,7775914,IND,BIH,8338.732,3971.346
241,245,7891678,IND,KOR,9232.963,3965.063
242,246,1129788,BDI,DEU,11544.12,3922.405
243,247,10182447,UGA,CHN,7425.856,3911.358
244,248,1971361,CHN,USA,17587.164,3869.898
245,249,8029677,IND,ARE,12393.931,3850.523
246,250,983774,BRA,UKR,9813.84,3849.973
247,251,4100325,IDN,ARM,9881.584,3837.898
248,252,3792362,HND,RUS,12154.736,3802.831
249,253,10181173,UGA,BEL,8354.41,3788.561
250,254,966090,BRA,SVK,7673.964,3752.199
251,255,2023605,COL,MEX,16684.84,3695.691
252,256,5860550,MEX,ESP,9798.75,3694.715
253,257,3766677,GTM,CHE,1351.831,3690.948
254,258,5291391,LAO,JPN,10160.48,3652.073
255,259,2035190,COL,RUS,14264.429,3544.362
256,260,3266137,DEU,BGR,7212.668,3476.009
257,261,8035708,IND,TUR,10023.004,3462.416
258,262,4200079,IDN,CHE,17622.58,3460.508
259,263,4094169,IDN,DZA,5784.394,3459.0
260,264,928482,BRA,MNE,7814.017,3436.015
261,265,5040894,KEN,KOR,22193.317,3434.477
262,266,6510853,NLD,UKR,8596.941,3426.37
263,267,7603284,RWA,USA,17076.673,3410.509
264,268,10185126,UGA,ZAF,6713.745,3340.87
265,269,8405503,VNM,SRB,5860.905,3285.786
266,270,2038898,COL,SWE,14398.391,3239.723
267,271,8033838,IND,TUN,9134.718,3236.979
268,272,2624169,ETH,MYS,9065.249,3223.579
269,273,10184753,UGA,POL,6431.163,3221.243
270,274,10185721,UGA,CHE,6670.441,3218.02
271,276,2618548,ETH,CAN,16761.11,3177.837
272,277,984596,BRA,MKD,6072.733,3153.421
273,278,4122610,IDN,ECU,5455.518,3144.003
274,279,2083711,CRI,CHE,16081.661,3143.171
275,280,8792917,ESP,DEU,7592.69,3137.479
276,281,1204519,CMR,PRT,4865.539,3129.627
277,282,4192244,IDN,VNM,10275.21,3123.013
278,283,2602898,SLV,DEU,10641.072,3121.241
279,284,3513764,DEU,RUS,15017.705,3041.144
280,285,4519821,ITA,FRA,10979.554,3037.713
281,286,780641,BEL,USA,12049.183,3032.481
282,287,966846,BRA,VNM,7152.676,3031.31
283,288,5054090,KEN,SWE,17409.967,3029.352
284,289,3555678,DEU,ESP,12443.864,3016.085
285,290,8022578,IND,SYR,5917.19,3013.26
286,291,5808163,MEX,FRA,12459.383,2990.42
287,292,934854,BRA,NZL,10292.091,2985.625
288,293,3741624,GTM,AUS,13034.404,2941.078
289,294,956235,BRA,ROU,7504.994,2924.941
290,295,3771148,GIN,SEN,828.41,2921.382
291,296,6622169,NIC,CRI,5413.496,2901.601
292,297,3767647,GTM,GBR,11434.497,2899.356
293,298,2580831,ECU,COL,7463.984,2879.226
294,299,6864282,PER,NLD,12824.438,2878.232
295,300,3789140,HND,LAO,8373.364,2863.86
296,301,919294,BRA,LBY,7165.316,2854.589
297,302,3567275,DEU,CHE,30152.975,2835.709
298,303,2608491,SLV,JPN,10713.534,2798.37
299,304,5054457,KEN,CHE,18028.605,2779.266
300,305,3789368,HND,MEX,8582.85,2767.6
301,306,8712878,ESP,BEL,4065.861,2737.417
302,307,4204935,IDN,ARE,8284.204,2706.813
303,308,875501,BRA,CUB,5877.453,2691.0
304,310,1203228,CMR,ITA,4652.977,2675.31
305,311,9723858,ARE,OMN,8448.157,2674.206
306,312,8002169,IND,SVN,5889.009,2673.178
307,313,7978106,IND,RUS,6392.96,2622.566
308,314,2035629,COL,SAU,15134.841,2611.254
309,315,4173725,IDN,PHL,5605.168,2609.982
310,316,8361324,VNM,ISR,9705.343,2579.359
311,317,1855519,CHN,RUS,9669.222,2573.48
312,318,2630349,ETH,GBR,11405.335,2570.211
313,319,8054476,IND,USA,8572.622,2567.413
314,320,2015431,COL,GRC,10533.254,2528.561
315,321,5036607,KEN,FIN,7572.076,2526.711
316,322,6620886,NIC,AUS,9768.317,2522.085
317,323,6837462,PER,AUS,10737.602,2476.59
318,324,6860713,PER,JPN,11026.642,2467.634
319,325,7970931,IND,PRT,4824.286,2465.665
320,326,3362733,DEU,HUN,5632.18,2461.029
321,327,6630399,NIC,ESP,6113.043,2441.828
322,328,8047429,IND,GBR,7921.904,2436.366
323,329,6827817,PNG,FRA,7969.089,2435.33
324,330,10684021,TZA,USA,9926.142,2413.947
325,331,8416406,VNM,SWE,4437.853,2353.866
326,332,3760416,GTM,NLD,9697.813,2316.997
327,333,928965,BRA,MAR,4154.337,2303.108
328,334,3135410,FRA,ESP,10282.456,2283.83
329,335,962345,BRA,IND,3035.831,2281.572
330,336,7602886,RWA,SWE,9609.432,2269.453
331,337,7931191,IND,MAR,5422.128,2266.698
332,338,6628300,NIC,MEX,5933.321,2262.717
333,339,3248918,DEU,BEL,8271.903,2257.88
334,340,3313362,DEU,DNK,10428.947,2256.055
335,341,2050584,COG,ITA,5095.789,2254.49
336,342,3790009,HND,NLD,7183.761,2248.382
337,343,6871641,PER,ESP,7983.693,2239.461
338,344,4163937,IDN,NLD,7106.988,2205.044
339,345,3759024,GTM,MYS,8323.312,2197.094
340,346,4145106,IDN,KOR,8524.825,2191.36
341,347,1794259,CHN,NLD,6827.992,2184.686
342,348,6624979,NIC,FRA,5904.016,2174.263
343,349,10182953,UGA,FRA,3839.888,2163.01
344,350,10181381,UGA,BGR,3824.099,2158.052
345,351,917180,BRA,LVA,6389.525,2153.042
346,352,10713508,USA,BEL,5944.084,2148.708
347,353,2072374,CRI,KOR,10624.839,2141.196
348,354,10132729,TUR,SYR,5467.741,2127.37
349,355,3762909,GTM,NOR,8676.141,2122.253
350,356,5289101,LAO,KHM,3671.676,2112.785
351,357,10186273,UGA,UKR,4174.064,2093.35
352,358,3591690,DEU,UKR,6704.318,2075.188
353,359,747767,BEL,SWE,5299.582,2069.743
354,360,10185088,UGA,SVN,3805.478,2043.443
355,361,6627886,NIC,JOR,6725.635,2030.671
356,362,7602116,RWA,KEN,9662.579,2019.608
357,363,7868472,IND,IRN,3980.66,2019.23
358,364,708738,BEL,ROU,8327.383,2017.387
359,365,2627953,ETH,ESP,8335.83,2016.226
360,366,4106542,IDN,BGR,5174.501,1977.857
361,367,3233692,DEU,AUS,10181.632,1973.85
362,368,3509250,DEU,ROU,6312.133,1943.955
363,369,3780952,HND,BGR,6857.481,1939.69
364,370,6873245,PER,CHE,370.271,1922.528
365,371,8402009,VNM,ROU,3429.936,1908.827
366,372,3786198,HND,GRC,7064.137,1858.755
367,373,2629405,ETH,ARE,8542.708,1848.669
368,374,6631170,NIC,GBR,7463.336,1846.731
369,375,8422530,VNM,ARE,7680.092,1842.682
370,376,10185597,UGA,SWE,6627.208,1836.582
371,377,4431673,ITA,AUT,6360.2,1829.409
372,378,2082896,CRI,ESP,8612.257,1807.54
373,379,6220926,NLD,BEL,7266.326,1807.11
374,380,2041362,COL,TUR,8084.395,1787.711
375,381,11120627,VEN,USA,6089.549,1785.899
376,382,2035049,COL,ROU,7962.32,1773.106
377,383,8206694,SGP,USA,12465.996,1762.5
378,384,859000,BRA,BGR,1067.357,1748.697
379,385,2028100,COL,NZL,7905.229,1745.148
380,386,840046,BRA,ALB,3363.387,1744.105
381,387,3538297,DEU,SVK,6488.831,1737.703
382,388,7746725,IND,ALB,3237.014,1736.82
383,389,8374383,VNM,LBN,3391.665,1736.16
384,390,4486517,ITA,HRV,5233.668,1724.589
385,391,6627818,NIC,JPN,7120.487,1714.821
386,392,2622289,ETH,ISR,7368.392,1693.747
387,393,6869410,PER,RUS,7359.751,1689.566
388,394,9674963,ARE,IRN,6145.649,1682.863
389,395,5862637,MEX,SWE,9978.028,1680.314
390,396,2615059,SLV,GBR,7445.099,1674.589
391,397,11133733,ZMB,USA,7245.965,1665.712
392,398,2858367,FRA,BEL,6284.596,1664.544
393,399,8381282,VNM,MEX,3232.653,1658.296
394,400,3348888,DEU,GRC,6376.958,1641.968
395,401,8316076,VNM,AUT,4781.482,1624.576
396,402,8317912,VNM,ARM,3163.305,1621.092
397,403,2630117,ETH,UKR,5408.555,1616.771
398,404,10681889,TZA,CHE,2428.607,1608.248
399,405,10819097,USA,DEU,5832.145,1596.282
400,406,3753140,GTM,FRA,6132.573,1558.216
401,407,2598219,SLV,BEL,6179.798,1550.524
402,408,6630869,NIC,ARE,5688.828,1549.58
403,409,10681418,TZA,ESP,3206.181,1537.371
404,410,4775345,CIV,SEN,578.171,1530.28
405,411,8930376,ESP,RUS,3424.604,1516.947
406,412,2628395,ETH,SWE,7180.002,1497.571
407,413,8390311,VNM,NZL,2310.132,1484.473
408,414,6623759,NIC,DOM,2211.798,1482.493
409,415,8443164,SVN,BIH,3116.669,1474.76
410,416,905776,BRA,IRL,5524.686,1467.823
411,417,4529046,ITA,DEU,4031.385,1451.72
412,418,2071245,CRI,ISR,6203.457,1447.589
413,419,2624940,ETH,NLD,7721.443,1445.91
414,420,3480616,DEU,NOR,6163.845,1444.123
415,421,7836562,IND,FRA,3568.498,1434.345
416,422,4775593,CIV,IND,1940.644,1423.032
417,423,10183478,UGA,JPN,4100.329,1421.13
418,424,3502241,DEU,PRT,6164.468,1412.927
419,425,7601978,RWA,DEU,5163.202,1403.854
420,426,10182686,UGA,DNK,2642.381,1400.655
421,427,10184008,UGA,KOR,3666.841,1400.199
422,428,10182894,UGA,FIN,4763.795,1392.919
423,429,2621700,ETH,GRC,7070.581,1390.935
424,430,8345231,VNM,FIN,2096.512,1382.963
425,431,2630234,ETH,EGY,3899.579,1380.86
426,432,10915501,USA,MEX,5796.681,1378.819
427,433,2072077,CRI,JPN,6928.786,1369.153
428,434,11118185,VEN,DEU,4578.321,1355.43
429,435,10678665,TZA,PRT,2718.515,1351.489
430,436,2071363,CRI,ITA,6346.35,1350.62
431,437,1130637,BDI,UGA,1771.628,1347.41
432,438,2944572,FRA,DEU,3176.645,1346.626
433,439,5040607,KEN,JPN,9423.645,1338.783
434,440,6428928,NLD,POL,5548.45,1332.087
435,441,8413252,VNM,ZAF,2857.381,1330.583
436,442,4773772,CIV,ITA,2316.954,1319.79
437,443,6487333,NLD,SWE,4988.832,1317.999
438,444,2054893,COD,ITA,3116.068,1313.42
439,445,2074418,CRI,NLD,6430.404,1313.187
440,446,5799470,MEX,DNK,5428.748,1311.43
441,447,3792272,HND,PRT,4375.956,1303.011
442,448,4131812,IDN,GRC,3863.12,1295.436
443,449,1502622,CHN,BEL,4507.709,1294.753
444,450,6238434,NLD,BLR,3492.523,1284.64
445,451,991998,BRA,URY,2940.439,1277.495
446,452,2041719,COL,UKR,5333.277,1273.335
447,453,2036957,COL,SVN,5871.869,1268.631
448,454,7659110,SAU,YEM,4746.377,1264.279
449,455,6629844,NIC,RUS,4248.96,1263.591
450,456,9283517,CHE,ISR,10009.26,1256.645
451,457,2057344,CRI,AUS,6016.504,1253.155
452,458,1130441,BDI,SWE,4146.861,1246.0
453,459,5871463,MEX,GBR,5454.067,1243.865
454,460,6292146,NLD,FRA,9144.503,1241.83
455,461,2059303,CRI,CAN,6038.296,1240.579
456,462,6861137,PER,JOR,5471.058,1227.608
457,463,4177282,IDN,PRT,2066.291,1226.56
458,464,7783368,IND,BGR,3678.017,1221.726
459,465,6624907,NIC,FIN,4234.883,1218.758
460,466,6828386,PNG,NZL,5525.376,1213.0
461,467,5288865,LAO,BEL,3118.764,1208.876
462,468,10667117,TZA,DZA,1845.593,1202.8
463,469,901691,BRA,HKG,3436.492,1183.287
464,470,7602658,RWA,RUS,3043.399,1176.878
465,471,919578,BRA,LTU,3627.052,1165.987
466,472,8783945,ESP,FRA,2905.888,1161.258
467,473,9590654,TGO,MAR,2101.039,1150.302
468,474,2608617,SLV,KOR,4521.135,1145.965
469,475,2621791,ETH,HKG,4554.871,1139.025
470,476,2007260,COL,DNK,4573.541,1137.816
471,477,4134311,IDN,HKG,2313.953,1134.01
472,478,4137380,IDN,IRN,2240.428,1131.841
473,479,8412164,VNM,SVN,5007.111,1128.513
474,480,3420327,DEU,LTU,4050.95,1128.21
475,481,2041877,COL,EGY,4938.952,1128.041
476,482,3753022,GTM,FIN,4352.649,1117.863
477,483,7332674,TLS,CAN,5307.139,1106.104
478,484,3644003,GRC,BGR,2952.877,1098.091
479,485,5029497,KEN,AUS,7185.62,1095.31
480,486,4772650,CIV,FRA,1493.398,1092.83
481,487,9590494,TGO,MLI,1449.319,1089.0
482,488,3782147,HND,CHN,4017.025,1085.007
483,489,2608087,SLV,ITA,3781.449,1070.66
484,490,6862852,PER,MEX,3682.111,1067.83
485,491,8828622,ESP,ITA,3526.136,1066.241
486,492,5044841,KEN,NOR,7138.494,1056.984
487,493,3760724,GTM,NZL,4093.708,1056.33
488,494,2597939,SLV,AUS,4746.659,1049.758
489,495,1129906,BDI,KEN,3603.421,1046.198
490,496,1995244,COL,ARG,4821.399,1041.669
491,497,6828676,PNG,RUS,2945.937,1039.398
492,498,4535314,ITA,GRC,2682.152,1036.549
493,499,3792561,HND,IND,1905.383,1021.669
494,500,6340813,NLD,ITA,4534.627,1018.935
495,501,7305588,PRT,ESP,2931.948,1017.232
496,502,7332865,TLS,IDN,559.385,1014.54
497,503,5773397,MEX,AUS,4619.628,1013.49
498,504,10183528,UGA,KEN,3574.637,1010.84
499,505,4775230,CIV,PRT,1656.151,1006.127
500,506,8990248,ESP,GBR,3945.892,1004.538
501,507,1916816,CHN,SWE,3807.594,1001.103
502,508,10675117,TZA,KEN,438.297,999.248
503,509,8348677,VNM,GEO,2013.211,995.878
504,510,6333355,NLD,IRL,4045.081,990.322
505,511,6628988,NIC,PAN,2023.311,988.039
506,512,3759115,GTM,MEX,3090.913,985.826
507,513,10667248,TZA,AUS,3989.543,983.352
508,514,2040787,COL,ARE,5613.136,982.994
509,515,7333217,TLS,USA,4496.874,981.909
510,516,8479843,SVN,ITA,3884.099,978.524
511,517,10678581,TZA,POL,4145.539,975.909
512,518,699584,BEL,POL,2453.605,967.5
513,519,7944517,IND,NLD,3375.891,965.985
514,520,5825296,MEX,JPN,4254.024,964.471
515,521,10182143,UGA,CAN,2616.811,963.061
516,522,3767406,GTM,TUR,3893.396,960.053
517,523,2022003,COL,JOR,4391.775,956.225
518,524,5033633,KEN,COD,6378.637,955.994
519,525,876341,BRA,CYP,2011.779,952.141
520,526,3788533,HND,ISR,3876.03,948.103
521,527,8340503,VNM,DNK,1748.249,943.652
522,528,10186215,UGA,TUR,1867.864,941.193
523,529,7601857,RWA,FIN,3181.039,940.568
524,530,7744799,SLE,CHE,1711.995,936.0
525,531,5032058,KEN,CAN,6305.767,935.387
526,532,1920645,CHN,CHE,3161.2,932.691
527,533,6444445,NLD,RUS,3473.777,929.698
528,534,2620188,ETH,FIN,4254.664,919.93
529,535,10677784,TZA,NLD,953.828,909.93
530,536,725448,BEL,IND,707.684,906.751
531,537,5048927,KEN,IND,1840.197,892.976
532,538,5291334,LAO,ITA,1641.207,889.588
533,539,7988649,IND,SRB,1925.771,885.858
534,540,5295545,LAO,USA,3542.768,885.541
535,541,2055085,COD,MAR,2014.119,884.415
536,542,3381449,DEU,ISR,2702.897,883.812
537,544,6628665,NIC,NLD,2904.614,870.356
538,545,964294,BRA,SGP,2966.34,868.655
539,546,5058567,KEN,GBR,5818.036,862.366
540,547,8353489,VNM,HKG,1548.148,855.747
541,548,1202747,CMR,DEU,1647.187,855.351
542,549,7968075,IND,POL,1881.644,855.143
543,550,4773429,CIV,DEU,1174.903,851.589
544,551,2599026,SLV,CAN,2977.611,846.071
545,552,1686529,CHN,ITA,2512.918,841.104
546,553,8125300,SGP,ISR,2833.616,839.453
547,554,2625334,ETH,NZL,4558.932,835.283
